Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
fd1dcc3c-41d8-deb4-9c07-4f521529a4fd,1988-04-07,,999-23-4043,S99976950,X36003011X,Mr.,Dirk334,Deangelo7,Jast432,,,D,white,nonhispanic,M,East Harwich  Massachusetts  US,891 Ruecker Plaza,Lowell,Massachusetts,Middlesex County,25017,01852,42.62893894314571,-71.31167472528341,30481.61,727608.22,24222
e60d46c3-9362-6244-59e5-130fc0117604,1970-03-12,,999-58-6029,S99929212,X46645949X,Mrs.,Shavonne800,Mireya881,Leannon79,,Swift555,D,white,nonhispanic,F,Rowley  Massachusetts  US,373 Kozey Station Suite 76,Quincy,Massachusetts,Norfolk County,25021,02171,42.279254864058814,-71.03841798490006,272508.52,711945.33,183061
7a081551-fd04-193a-55bf-e450c760c4cc,1957-11-02,,999-67-1876,S99998175,X27044048X,Mr.,Damion480,Refugio197,Ondricka197,,,M,white,nonhispanic,M,Boston  Massachusetts  US,790 MacGyver Common Suite 77,Cohasset,Massachusetts,Norfolk County,,00000,42.230328627807936,-70.8015111653579,264837.90,4983.53,50115
0e6658f3-c408-ebe3-fbbf-01743d262f91,1954-03-10,,999-77-1306,S99993327,X73757689X,Ms.,Joey457,Romona686,Kuvalis369,MD,,S,white,nonhispanic,F,Westport  Massachusetts  US,1092 Heaney Stravenue Suite 13,Bolton,Massachusetts,Worcester County,,00000,42.39910789795834,-71.64737268634866,255236.11,1295404.38,183931
6baea1ca-1020-6ce6-b1ac-dab2047810c6,1972-10-08,,999-20-3946,S99997798,X67384583X,Ms.,Brandon214,Kelley882,Nader710,,,S,white,nonhispanic,F,Weymouth  Massachusetts  US,761 Beatty Estate Suite 49,Brockton,Massachusetts,Plymouth County,25023,02351,42.07633183781541,-71.05085399507239,21227.16,1632732.70,22237
465ddde6-1d91-e853-e89d-f0bd574cf348,1954-05-09,,999-80-5529,S99992336,X9325010X,Mr.,Porter490,Nathan164,Ziemann98,,,M,white,nonhispanic,M,Millbury  Massachusetts  US,184 Spencer Ville Suite 33,Lowell,Massachusetts,Middlesex County,25017,01852,42.648791610924505,-71.33409020387559,202716.06,288316.02,130969
41fe9c99-601c-e95e-5a61-7c545e2a4526,2008-10-23,,999-76-2169,S99921616,,,Zachary28,Willie882,Hackett68,,,,white,nonhispanic,M,Tewksbury  Massachusetts  US,808 Pollich Crossing Suite 99,Beverly,Massachusetts,Essex County,25009,01915,42.50777241851405,-70.81912528657632,3221.47,63356.61,14652
a08808a6-1dfd-13cc-4712-ad89da0893ed,1929-06-16,,999-14-8748,S99972161,X49363992X,Mrs.,Lashay246,Melynda458,Reynolds644,,Greenholt190,M,white,nonhispanic,F,Rockland  Massachusetts  US,145 Nicolas Wall Unit 62,Framingham,Massachusetts,Middlesex County,25017,01702,42.33721301984616,-71.43626503019489,268604.71,985689.09,128593
5bc3de99-915b-1a73-0d82-b71d643c28fa,1993-11-27,,999-90-2414,S99977417,X22033108X,Mrs.,Rosanna866,Erna640,Nolan344,,Conn188,M,white,nonhispanic,F,Somerville  Massachusetts  US,203 Hegmann Path Apt 23,Sharon,Massachusetts,Norfolk County,25021,02067,42.101021047975046,-71.15027804393179,89330.07,389129.98,159839
cc0eaec2-98b2-c5d5-4c09-9f765a2a8c4e,1987-02-06,,999-45-2894,S99962383,X2930881X,Mr.,Ron353,Lindsay928,Kutch271,,,M,white,nonhispanic,M,Brockton  Massachusetts  US,856 Kub Alley Unit 73,Salem,Massachusetts,Essex County,25009,01907,42.45262831057862,-70.94123028293188,48931.24,57641.18,539945
5ccff185-d987-ade3-74e0-871ba37ede12,1992-12-23,,999-64-9630,S99949430,X47969249X,Mr.,Max124,David908,Huel628,,,M,white,nonhispanic,M,West Springfield  Massachusetts  US,1043 Jones Stravenue Apt 23,Littleton,Massachusetts,Middlesex County,,00000,42.49626826508711,-71.52168620967196,67897.13,3486.60,67249
bf1178ed-0ab8-f871-fc5f-c0a8fb553fc7,1972-11-07,,999-79-3059,S99952672,X32390250X,Mrs.,Frank378,Griselda377,Weimann465,,Spencer878,D,white,nonhispanic,F,Boston  Massachusetts  US,843 Shanahan Camp Suite 52,Quincy,Massachusetts,Norfolk County,25021,02169,42.25759379170975,-71.03725558311342,16739.15,1797236.96,13603
